id,time,yG1,group
1,0,1.00243878651199,simulationGroup1
1,50,80.9891514119246,simulationGroup1
1,100,160.686935483863,simulationGroup1
2,0,0.9873142472757919,simulationGroup1
2,50,91.8105926002028,simulationGroup1
2,100,182.712635574113,simulationGroup1
3,0,1.04402631312313,simulationGroup1
3,50,70.8008726232435,simulationGroup1
3,100,140.878081147458,simulationGroup1
4,0,1.09822139399077,simulationGroup1
4,50,108.457723700104,simulationGroup1
4,100,216.291708876652,simulationGroup1
5,0,0.9246782241946919,simulationGroup1
5,50,66.4620401719305,simulationGroup1
5,100,132.15078456328,simulationGroup1
6,0,1.06783735229072,simulationGroup1
6,50,77.3424612382182,simulationGroup1
6,100,153.576074010577,simulationGroup1
7,0,1.26336689705456,simulationGroup1
7,50,81.2957052218031,simulationGroup1
7,100,161.806669734481,simulationGroup1
8,0,1.03664497291504,simulationGroup1
8,50,81.6576038979654,simulationGroup1
8,100,162.356649339918,simulationGroup1
9,0,0.8807297607091535,simulationGroup1
9,50,26.3428193160805,simulationGroup1
9,100,51.7659757484529,simulationGroup1
10,0,0.9199347845731437,simulationGroup1
10,50,58.03606795241,simulationGroup1
10,100,115.034623313106,simulationGroup1
11,0,0.9475969367099293,simulationGroup1
11,50,79.6294974325632,simulationGroup1
11,100,158.338265064085,simulationGroup1
12,0,1.09412372164459,simulationGroup1
12,50,91.0109804507213,simulationGroup1
12,100,181.192437668022,simulationGroup1
13,0,0.8931962727722298,simulationGroup1
13,50,75.0356030510725,simulationGroup1
13,100,148.931350894771,simulationGroup1
14,0,1.05300617557955,simulationGroup1
14,50,39.4689326712063,simulationGroup1
14,100,78.236411192573,simulationGroup1
15,0,0.9922626463969083,simulationGroup1
15,50,94.4856988889942,simulationGroup1
15,100,188.02307885052,simulationGroup1
16,0,0.8760152852018118,simulationGroup1
16,50,72.2997116944072,simulationGroup1
16,100,143.686442029417,simulationGroup1
17,0,0.9801889781905707,simulationGroup1
17,50,103.101798233623,simulationGroup1
17,100,204.94398090091,simulationGroup1
18,0,1.11165642837772,simulationGroup1
18,50,93.7266927625448,simulationGroup1
18,100,186.588659276058,simulationGroup1
19,0,1.00052299656226,simulationGroup1
19,50,69.0076177770983,simulationGroup1
19,100,137.077100352511,simulationGroup1
20,0,1.07454777971309,simulationGroup1
20,50,58.3823151537789,simulationGroup1
20,100,115.876604288223,simulationGroup1
21,0,0.9710952300976534,simulationGroup1
21,50,63.6515774072093,simulationGroup1
21,100,126.471723575344,simulationGroup1
22,0,1.0964830355702,simulationGroup1
22,50,58.8412667885956,simulationGroup1
22,100,116.518313971389,simulationGroup1
23,0,0.9300152326526221,simulationGroup1
23,50,41.8570522132102,simulationGroup1
23,100,82.9290308834091,simulationGroup1
24,0,0.9139828883432027,simulationGroup1
24,50,66.0790050810759,simulationGroup1
24,100,131.241882539924,simulationGroup1
25,0,1.04447420874846,simulationGroup1
25,50,75.5499426085966,simulationGroup1
25,100,150.211553987356,simulationGroup1
26,0,1.02346321193652,simulationGroup1
26,50,67.7161083526452,simulationGroup1
26,100,134.063694465813,simulationGroup1
27,0,1.04623633936859,simulationGroup1
27,50,96.5449797763554,simulationGroup1
27,100,191.992887258274,simulationGroup1
28,0,1.10099329776159,simulationGroup1
28,50,82.2679303313127,simulationGroup1
28,100,163.795055347258,simulationGroup1
29,0,1.03042075520299,simulationGroup1
29,50,50.753296813767,simulationGroup1
29,100,100.559426898875,simulationGroup1
30,0,0.8532679610352282,simulationGroup1
30,50,96.2618596876622,simulationGroup1
30,100,191.453877996064,simulationGroup1
31,0,1.0589381354492,simulationGroup1
31,50,80.8185064650894,simulationGroup1
31,100,160.999861418504,simulationGroup1
32,0,1.17915524428731,simulationGroup1
32,50,78.5823347093452,simulationGroup1
32,100,156.256143615758,simulationGroup1
33,0,1.03023160634629,simulationGroup1
33,50,64.3980822024383,simulationGroup1
33,100,127.800914431079,simulationGroup1
34,0,1.17941794688468,simulationGroup1
34,50,51.7774401018136,simulationGroup1
34,100,102.519440005222,simulationGroup1
35,0,0.8922943401538411,simulationGroup1
35,50,107.624361960684,simulationGroup1
35,100,214.322777710917,simulationGroup1
36,0,1.00315928876945,simulationGroup1
36,50,65.0253329041733,simulationGroup1
36,100,129.468826697857,simulationGroup1
37,0,0.8371711998641544,simulationGroup1
37,50,63.8619088949455,simulationGroup1
37,100,127.131458279055,simulationGroup1
38,0,0.8117982897126175,simulationGroup1
38,50,93.2493640105481,simulationGroup1
38,100,185.086814570014,simulationGroup1
39,0,1.02768872453351,simulationGroup1
39,50,94.8760680048429,simulationGroup1
39,100,188.455861863069,simulationGroup1
40,0,1.02034300775097,simulationGroup1
40,50,68.3125584620603,simulationGroup1
40,100,135.911040891611,simulationGroup1
41,0,0.6872818399993076,simulationGroup1
41,50,96.7721721674478,simulationGroup1
41,100,192.554656219957,simulationGroup1
42,0,0.8575445656919773,simulationGroup1
42,50,76.827693000344,simulationGroup1
42,100,152.331239947066,simulationGroup1
43,0,0.9692303495182935,simulationGroup1
43,50,69.6235933576626,simulationGroup1
43,100,138.193241455087,simulationGroup1
44,0,1.02374700651492,simulationGroup1
44,50,76.1092517359762,simulationGroup1
44,100,151.234476390615,simulationGroup1
45,0,0.9158711315557256,simulationGroup1
45,50,92.6566679200945,simulationGroup1
45,100,184.33519972808,simulationGroup1
46,0,1.20849141094813,simulationGroup1
46,50,59.417115400958,simulationGroup1
46,100,117.798796754709,simulationGroup1
47,0,1.14569250654512,simulationGroup1
47,50,49.5650874775979,simulationGroup1
47,100,97.7927768854381,simulationGroup1
48,0,1.0146574913334,simulationGroup1
48,50,70.321529679592,simulationGroup1
48,100,139.586241646958,simulationGroup1
49,0,0.9946760914138422,simulationGroup1
49,50,72.4338919928981,simulationGroup1
49,100,143.642249127397,simulationGroup1
50,0,1.05735184585597,simulationGroup1
50,50,97.645670365778,simulationGroup1
50,100,194.138618744572,simulationGroup1
