id,p1,group
1,3.19324210116955,simulationGroup1
2,3.6318012198505,simulationGroup1
3,2.79572186613306,simulationGroup1
4,4.3027172818675,simulationGroup1
5,2.62021293985343,simulationGroup1
6,3.05300826066032,simulationGroup1
7,3.21516157182947,simulationGroup1
8,3.22675166165658,simulationGroup1
9,1.01424115773707,simulationGroup1
10,2.27968817621697,simulationGroup1
11,3.14586706749286,simulationGroup1
12,3.6017349833413,simulationGroup1
13,2.95933500991866,simulationGroup1
14,1.54612768264779,simulationGroup1
15,3.74197813184347,simulationGroup1
16,2.85545522981782,simulationGroup1
17,4.07899139245568,simulationGroup1
18,3.71335271480548,simulationGroup1
19,2.72310740982786,simulationGroup1
20,2.29517858278121,simulationGroup1
21,2.50768050367964,simulationGroup1
22,2.31200877736422,simulationGroup1
23,1.63934108280978,simulationGroup1
24,2.60424898931619,simulationGroup1
25,2.98286208861541,simulationGroup1
26,2.66096976135624,simulationGroup1
27,3.8182913454013,simulationGroup1
28,3.25312028925904,simulationGroup1
29,1.99228302792596,simulationGroup1
30,3.8110439446965,simulationGroup1
31,3.19975881293121,simulationGroup1
32,3.10190213912108,simulationGroup1
33,2.53831458321795,simulationGroup1
34,2.0304338058585,simulationGroup1
35,4.26773131592553,simulationGroup1
36,2.56791501032781,simulationGroup1
37,2.52133541286301,simulationGroup1
38,3.68059592844043,simulationGroup1
39,3.74778178724999,simulationGroup1
40,2.69691455802189,simulationGroup1
41,3.82940583756903,simulationGroup1
42,3.02921783805716,simulationGroup1
43,2.74395604116601,simulationGroup1
44,3.00634865685417,simulationGroup1
45,3.66917942466531,simulationGroup1
46,2.33267555199235,simulationGroup1
47,1.93484880826112,simulationGroup1
48,2.77164310274346,simulationGroup1
49,2.85139871653891,simulationGroup1
50,3.86405801308387,simulationGroup1
